job_title,company_name,company_location,job_url
b'Python Developer (m/f/d)',b'sewts',"b'Munich, Bavaria, Germany'",b'https://de.linkedin.com/jobs/view/python-developer-m-f-d-at-sewts-3588022814?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=vcz0EkRsvoU7R2dKYKP%2FSQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Python Developer with Odoo - remote work',b'Sowelo Consulting sp. z o.o. sp. k.',b'Germany',b'https://de.linkedin.com/jobs/view/python-developer-with-odoo-remote-work-at-sowelo-consulting-sp-z-o-o-sp-k-3555921003?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=rOQi2PnNhMc85ZiReMcuVA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Software developer:in Python',b'atene KOM GmbH',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/software-developer-in-python-at-atene-kom-gmbh-3591923181?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=lsNg8zht%2Bv9VzDN40OG0Qg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Backend Engineer - Python',b'Memfault',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/backend-engineer-python-at-memfault-3564019716?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=HBjO%2FPqGyf43e79QWo5Wyg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Senior Software Engineer (Open Source / Python)',b'dltHub',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/senior-software-engineer-open-source-python-at-dlthub-3590337317?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=%2BxqD6gDIBeLkGr%2FsSuaAsA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Junior Software Developer (m/f/d)',b'ARMON GmbH',"b'Rheinb\xc3\xb6llen, Rhineland-Palatinate, Germany'",b'https://de.linkedin.com/jobs/view/junior-software-developer-m-f-d-at-armon-gmbh-3591918983?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=nsyeTVZ5WPVotN7rMQ%2BTyA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Junior Software Developer (m/w/d)',b'Panther Pricing',"b'Frankfurt am Main, Hesse, Germany'",b'https://de.linkedin.com/jobs/view/junior-software-developer-m-w-d-at-panther-solutions-3586236946?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=DTWiHbfVNUW42pPVi%2BjJHA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Python Backend Developer (m/w/d)',b'TEMPTON Group',"b'Cologne, North Rhine-Westphalia, Germany'",b'https://de.linkedin.com/jobs/view/python-backend-developer-m-w-d-at-tempton-3577038722?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=tBCQfW%2B5JmhzCJijcc1maQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Software Engineer Python REMOTE (all genders)',b'AllocNow GmbH',b'Germany',b'https://de.linkedin.com/jobs/view/software-engineer-python-remote-all-genders-at-allocnow-gmbh-3574517462?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=oS%2FyPw1JyGRRimtD5FJCzA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Engineer (English speaking)',b'MobiLab Solutions GmbH',"b'Cologne, North Rhine-Westphalia, Germany'",b'https://de.linkedin.com/jobs/view/data-engineer-english-speaking-at-mobilab-solutions-gmbh-3584976512?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=z9%2BNcWfoiOCCifdzE3RLKw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Backend Engineer - Python',b'Buddywise',"b'Berlin, Berlin, Germany'",b'https://de.linkedin.com/jobs/view/backend-engineer-python-at-buddywise-3567534871?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=C2yv%2FK9ovBqS6ra5qxUByQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Fullstack Developer* mit Python Superpower // 100% Remote // 85.000\xe2\x82\xac (*m/w/d)',b'NXT Hero',b'Germany',b'https://de.linkedin.com/jobs/view/fullstack-developer-mit-python-superpower-100%25-remote-85-000%E2%82%AC-m-w-d-at-nxt-hero-3589268995?refId=SNbBieUEZKiq17VsiM324A%3D%3D&trackingId=ywnwNbyMiNbk7udo3j9KKA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card'
